Year,City,Sport,Discipline,NOC,Event,Event gender,Medal,new_column
1968,Grenoble,Skiing,Alpine Skiing,SUI,downhill,M,Bronze,fuck_off
1968,Grenoble,Skiing,Alpine Skiing,SUI,giant slalom,M,Silver,fuck_off
1968,Grenoble,Skiing,Alpine Skiing,SUI,giant slalom,W,Bronze,fuck_off
1968,Grenoble,Skiing,Cross Country S,SUI,50km,M,Bronze,fuck_off
1968,Grenoble,Skiing,Nordic Combined,SUI,individual,M,Silver,fuck_off
1968,Grenoble,Biathlon,Biathlon,SWE,4x7.5km relay,M,Bronze,fuck_off
1968,Grenoble,Skating,Speed skating,SWE,10000m,M,Bronze,fuck_off
1968,Grenoble,Skating,Speed skating,SWE,10000m,M,Gold,fuck_off
1968,Grenoble,Skiing,Cross Country S,SWE,10km,W,Gold,fuck_off
1968,Grenoble,Skiing,Cross Country S,SWE,15km,M,Bronze,fuck_off
1968,Grenoble,Skiing,Cross Country S,SWE,3x5km relay,W,Silver,fuck_off
1968,Grenoble,Skiing,Cross Country S,SWE,4x10km relay,M,Silver,fuck_off
1968,Grenoble,Skiing,Cross Country S,SWE,5km,W,Gold,fuck_off
1968,Grenoble,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver,fuck_off
1968,Grenoble,Skating,Figure skating,TCH,individual,W,Bronze,fuck_off
1968,Grenoble,Skiing,Ski Jumping,TCH,K120 individual (90m),M,Silver,fuck_off
1968,Grenoble,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Gold,fuck_off
1968,Grenoble,Biathlon,Biathlon,URS,20km,M,Bronze,fuck_off
1968,Grenoble,Biathlon,Biathlon,URS,20km,M,Silver,fuck_off
1968,Grenoble,Biathlon,Biathlon,URS,4x7.5km relay,M,Gold,fuck_off
1968,Grenoble,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,fuck_off
1968,Grenoble,Skating,Figure skating,URS,pairs,X,Gold,fuck_off
1968,Grenoble,Skating,Figure skating,URS,pairs,X,Silver,fuck_off
1968,Grenoble,Skating,Speed skating,URS,1000m,W,Silver,fuck_off
1968,Grenoble,Skating,Speed skating,URS,500m,W,Gold,fuck_off
1968,Grenoble,Skiing,Cross Country S,URS,3x5km relay,W,Bronze,fuck_off
1968,Grenoble,Skiing,Cross Country S,URS,50km,M,Silver,fuck_off
1968,Grenoble,Skiing,Cross Country S,URS,5km,W,Bronze,fuck_off
1968,Grenoble,Skiing,Cross Country S,URS,5km,W,Silver,fuck_off
1968,Grenoble,Skiing,Ski Jumping,URS,K120 individual (90m),M,Gold,fuck_off
1968,Grenoble,Skating,Figure skating,USA,individual,M,Silver,fuck_off
1968,Grenoble,Skating,Figure skating,USA,individual,W,Gold,fuck_off
1968,Grenoble,Skating,Speed skating,USA,1000m,W,Bronze,fuck_off
1968,Grenoble,Skating,Speed skating,USA,500m,M,Silver,fuck_off
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,fuck_off
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,fuck_off
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,AUT,individual,W,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,W,Silver,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,CAN,individual,W,Silver,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,ESP,slalom,M,Gold,fuck_off
1972,Sapporo,Biathlon,Biathlon,FIN,4x7.5km relay,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,FIN,10km,W,Bronze,fuck_off
1972,Sapporo,Skiing,Cross Country S,FIN,3x5km relay,W,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,FIN,5km,W,Silver,fuck_off
1972,Sapporo,Skiing,Nordic Combined,FIN,individual,M,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,FRA,individual,M,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Silver,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,four-man,M,Bronze,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,FRG,1000m,W,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,FRG,500m,M,Gold,fuck_off
1972,Sapporo,Biathlon,Biathlon,GDR,20km,M,Silver,fuck_off
1972,Sapporo,Biathlon,Biathlon,GDR,4x7.5km relay,M,Bronze,fuck_off
1972,Sapporo,Luge,Luge,GDR,doubles,X,Bronze,fuck_off
1972,Sapporo,Luge,Luge,GDR,doubles,X,Gold,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,M,Bronze,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,M,Gold,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,M,Silver,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,W,Bronze,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,W,Gold,fuck_off
1972,Sapporo,Luge,Luge,GDR,singles,W,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,GDR,pairs,X,Bronze,fuck_off
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Bronze,fuck_off
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Gold,fuck_off
1972,Sapporo,Skiing,Ski Jumping,GDR,K120 individual (90m),M,Bronze,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver,fuck_off
1972,Sapporo,Luge,Luge,ITA,doubles,X,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,ITA,giant slalom,M,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Silver,fuck_off
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Bronze,fuck_off
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Gold,fuck_off
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,NED,1000m,W,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,NED,1500m,M,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,NED,5000m,M,Gold,fuck_off
1972,Sapporo,Biathlon,Biathlon,NOR,20km,M,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,NOR,10000m,M,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,NOR,1500m,M,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,15km,M,Bronze,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Bronze,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,3x5km relay,W,Bronze,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,4x10km relay,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,50km,M,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,NOR,50km,M,Silver,fuck_off
1972,Sapporo,Skiing,Ski Jumping,POL,K120 individual (90m),M,Gold,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold,fuck_off
1972,Sapporo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,M,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,M,Silver,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,W,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,M,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,M,Silver,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,W,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,SUI,4x10km relay,M,Bronze,fuck_off
1972,Sapporo,Skiing,Ski Jumping,SUI,K120 individual (90m),M,Silver,fuck_off
1972,Sapporo,Biathlon,Biathlon,SWE,20km,M,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,SWE,1500m,M,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,SWE,500m,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,SWE,15km,M,Gold,fuck_off
1972,Sapporo,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Bronze,fuck_off
1972,Sapporo,Skating,Figure skating,TCH,individual,M,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,TCH,5km,W,Bronze,fuck_off
1972,Sapporo,Biathlon,Biathlon,URS,4x7.5km relay,M,Gold,fuck_off
1972,Sapporo,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,fuck_off
1972,Sapporo,Skating,Figure skating,URS,individual,M,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,URS,pairs,X,Gold,fuck_off
1972,Sapporo,Skating,Figure skating,URS,pairs,X,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,URS,500m,M,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,URS,500m,W,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,URS,500m,W,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,10km,W,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,10km,W,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,15km,M,Silver,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,30km mass start,M,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,3x5km relay,W,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,4x10km relay,M,Gold,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,50km,M,Bronze,fuck_off
1972,Sapporo,Skiing,Cross Country S,URS,5km,W,Gold,fuck_off
1972,Sapporo,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver,fuck_off
1972,Sapporo,Skating,Figure skating,USA,individual,W,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,USA,1000m,W,Bronze,fuck_off
1972,Sapporo,Skating,Speed skating,USA,1500m,W,Gold,fuck_off
1972,Sapporo,Skating,Speed skating,USA,3000m,W,Silver,fuck_off
1972,Sapporo,Skating,Speed skating,USA,500m,W,Gold,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,USA,downhill,W,Bronze,fuck_off
1972,Sapporo,Skiing,Alpine Skiing,USA,slalom,W,Gold,fuck_off
1976,Innsbruck,Luge,Luge,AUT,doubles,X,Bronze,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,AUT,downhill,M,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,AUT,downhill,W,Silver,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Gold,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Silver,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Bronze,fuck_off
1976,Innsbruck,Skating,Figure skating,CAN,individual,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,CAN,500m,W,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,CAN,giant slalom,W,Gold,fuck_off
1976,Innsbruck,Biathlon,Biathlon,FIN,20km,M,Silver,fuck_off
1976,Innsbruck,Biathlon,Biathlon,FIN,4x7.5km relay,M,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,FIN,10km,W,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,FIN,15km,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,FIN,4x10km relay,M,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,FIN,4x5km relay,W,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,FIN,5km,W,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,FRA,giant slalom,W,Bronze,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,four-man,M,Bronze,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver,fuck_off
1976,Innsbruck,Ice Hockey,Ice Hockey,FRG,ice hockey,M,Bronze,fuck_off
1976,Innsbruck,Luge,Luge,FRG,doubles,X,Silver,fuck_off
1976,Innsbruck,Luge,Luge,FRG,singles,M,Silver,fuck_off
1976,Innsbruck,Luge,Luge,FRG,singles,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,FRG,downhill,W,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,FRG,giant slalom,W,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,FRG,slalom,W,Gold,fuck_off
1976,Innsbruck,Skiing,Nordic Combined,FRG,individual,M,Silver,fuck_off
1976,Innsbruck,Skating,Figure skating,GBR,individual,M,Gold,fuck_off
1976,Innsbruck,Biathlon,Biathlon,GDR,4x7.5km relay,M,Bronze,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,GDR,four-man,M,Gold,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,GDR,two-man,M,Gold,fuck_off
1976,Innsbruck,Luge,Luge,GDR,doubles,X,Gold,fuck_off
1976,Innsbruck,Luge,Luge,GDR,singles,M,Bronze,fuck_off
1976,Innsbruck,Luge,Luge,GDR,singles,M,Gold,fuck_off
1976,Innsbruck,Luge,Luge,GDR,singles,W,Gold,fuck_off
1976,Innsbruck,Luge,Luge,GDR,singles,W,Silver,fuck_off
1976,Innsbruck,Skating,Figure skating,GDR,individual,W,Bronze,fuck_off
1976,Innsbruck,Skating,Figure skating,GDR,pairs,X,Bronze,fuck_off
1976,Innsbruck,Skating,Figure skating,GDR,pairs,X,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,GDR,3000m,W,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,GDR,4x5km relay,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,GDR,50km,M,Silver,fuck_off
1976,Innsbruck,Skiing,Nordic Combined,GDR,individual,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Nordic Combined,GDR,individual,M,Gold,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,GDR,K120 individual (90m),M,Bronze,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,GDR,K90 individual (70m),M,Gold,fuck_off
1976,Innsbruck,Skiing,Ski Jumping,GDR,K90 individual (70m),M,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,ITA,downhill,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,ITA,slalom,M,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,ITA,slalom,M,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,ITA,slalom,W,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,LIE,slalom,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,LIE,slalom,W,Bronze,fuck_off
1976,Innsbruck,Skating,Figure skating,NED,individual,W,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,NED,10000m,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,NED,10000m,M,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,NED,1500m,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,NED,5000m,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,NED,5000m,M,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,NOR,10000m,M,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,NOR,1000m,M,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,NOR,1500m,M,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,NOR,3000m,W,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,NOR,5000m,M,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,NOR,4x10km relay,M,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,NOR,50km,M,Gold,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver,fuck_off
1976,Innsbruck,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,SUI,downhill,M,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,SUI,giant slalom,M,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,SUI,giant slalom,M,Silver,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,SWE,giant slalom,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,SWE,50km,M,Bronze,fuck_off
1976,Innsbruck,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver,fuck_off
1976,Innsbruck,Biathlon,Biathlon,URS,20km,M,Bronze,fuck_off
1976,Innsbruck,Biathlon,Biathlon,URS,20km,M,Gold,fuck_off
1976,Innsbruck,Biathlon,Biathlon,URS,4x7.5km relay,M,Gold,fuck_off
1976,Innsbruck,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,fuck_off
1976,Innsbruck,Skating,Figure skating,URS,ice dancing,X,Gold,fuck_off
1976,Innsbruck,Skating,Figure skating,URS,ice dancing,X,Silver,fuck_off
1976,Innsbruck,Skating,Figure skating,URS,individual,M,Silver,fuck_off
1976,Innsbruck,Skating,Figure skating,URS,pairs,X,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,1000m,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,1000m,W,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,1500m,M,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,1500m,W,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,1500m,W,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,3000m,W,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,500m,M,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,500m,M,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,URS,500m,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,10km,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,10km,W,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,15km,M,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,15km,M,Silver,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,30km mass start,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,30km mass start,M,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,4x10km relay,M,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,4x5km relay,W,Gold,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,5km,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,URS,5km,W,Silver,fuck_off
1976,Innsbruck,Skating,Figure skating,USA,ice dancing,X,Bronze,fuck_off
1976,Innsbruck,Skating,Figure skating,USA,individual,W,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,1000m,M,Gold,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,1000m,W,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,1000m,W,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,1500m,W,Silver,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,500m,M,Bronze,fuck_off
1976,Innsbruck,Skating,Speed skating,USA,500m,W,Gold,fuck_off
1976,Innsbruck,Skiing,Alpine Skiing,USA,downhill,W,Bronze,fuck_off
1976,Innsbruck,Skiing,Cross Country S,USA,30km mass start,M,Silver,fuck_off
1980,Lake Placid,Luge,Luge,AUT,doubles,X,Bronze,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,M,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,M,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,W,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Silver,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Gold,fuck_off
1980,Lake Placid,Skiing,Cross Country S,BUL,30km mass start,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,CAN,1000m,M,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,CAN,downhill,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,10km,W,Bronze,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,10km,W,Silver,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,15km,M,Silver,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,4x10km relay,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver,fuck_off
1980,Lake Placid,Skiing,Cross Country S,FIN,5km,W,Silver,fuck_off
1980,Lake Placid,Skiing,Nordic Combined,FIN,individual,M,Silver,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,FIN,K120 individual (90m),M,Bronze,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,FIN,K120 individual (90m),M,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,FRA,giant slalom,W,Bronze,fuck_off
1980,Lake Placid,Biathlon,Biathlon,FRG,4x7.5km relay,M,Bronze,fuck_off
1980,Lake Placid,Luge,Luge,FRG,singles,M,Bronze,fuck_off
1980,Lake Placid,Skating,Figure skating,FRG,individual,W,Bronze,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,FRG,giant slalom,W,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,FRG,slalom,W,Silver,fuck_off
1980,Lake Placid,Skating,Figure skating,GBR,individual,M,Gold,fuck_off
1980,Lake Placid,Biathlon,Biathlon,GDR,10km,M,Gold,fuck_off
1980,Lake Placid,Biathlon,Biathlon,GDR,20km,M,Bronze,fuck_off
1980,Lake Placid,Biathlon,Biathlon,GDR,20km,M,Silver,fuck_off
1980,Lake Placid,Biathlon,Biathlon,GDR,4x7.5km relay,M,Silver,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,four-man,M,Bronze,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,four-man,M,Gold,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,two-man,M,Bronze,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,two-man,M,Silver,fuck_off
1980,Lake Placid,Luge,Luge,GDR,doubles,X,Gold,fuck_off
1980,Lake Placid,Luge,Luge,GDR,singles,M,Gold,fuck_off
1980,Lake Placid,Luge,Luge,GDR,singles,W,Silver,fuck_off
1980,Lake Placid,Skating,Figure skating,GDR,individual,M,Silver,fuck_off
1980,Lake Placid,Skating,Figure skating,GDR,individual,W,Gold,fuck_off
1980,Lake Placid,Skating,Figure skating,GDR,pairs,X,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,GDR,1000m,W,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,GDR,1500m,W,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,GDR,3000m,W,Silver,fuck_off
1980,Lake Placid,Skating,Speed skating,GDR,500m,W,Gold,fuck_off
1980,Lake Placid,Skiing,Cross Country S,GDR,10km,W,Gold,fuck_off
1980,Lake Placid,Skiing,Cross Country S,GDR,4x5km relay,W,Gold,fuck_off
1980,Lake Placid,Skiing,Nordic Combined,GDR,individual,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Nordic Combined,GDR,individual,M,Gold,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,GDR,K90 individual (70m),M,Silver,fuck_off
1980,Lake Placid,Skating,Figure skating,HUN,ice dancing,X,Silver,fuck_off
1980,Lake Placid,Luge,Luge,ITA,doubles,X,Silver,fuck_off
1980,Lake Placid,Luge,Luge,ITA,singles,M,Silver,fuck_off
1980,Lake Placid,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,LIE,downhill,W,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,LIE,giant slalom,M,Silver,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,LIE,giant slalom,W,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,LIE,slalom,W,Gold,fuck_off
1980,Lake Placid,Skating,Speed skating,NED,10000m,M,Silver,fuck_off
1980,Lake Placid,Skating,Speed skating,NED,1500m,W,Gold,fuck_off
1980,Lake Placid,Skating,Speed skating,NED,1500m,W,Silver,fuck_off
1980,Lake Placid,Skating,Speed skating,NED,500m,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,10000m,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,1000m,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,1500m,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,1500m,M,Silver,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,3000m,W,Gold,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,5000m,M,Bronze,fuck_off
1980,Lake Placid,Skating,Speed skating,NOR,5000m,M,Silver,fuck_off
1980,Lake Placid,Skiing,Cross Country S,NOR,15km,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Cross Country S,NOR,4x10km relay,M,Silver,fuck_off
1980,Lake Placid,Skiing,Cross Country S,NOR,4x5km relay,W,Bronze,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver,fuck_off
1980,Lake Placid,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,SUI,downhill,W,Bronze,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,SUI,slalom,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,SUI,slalom,W,Bronze,fuck_off
1980,Lake Placid,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Bronze,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,SWE,giant slalom,M,Gold,fuck_off
1980,Lake Placid,Skiing,Alpine Skiing,SWE,slalom,M,Gold,fuck_off
